François Corbier	626f805a-4f63-4779-adf9-8f186c670f52	1944/10/17	null/null/null	Person	France	Male	null	null	null
Eddie Cantor	0e04e04c-bdfe-4a0e-a311-a2190bd6d72c	1892/1/31	1964/10/10	Person	United States	Male	null	null	null
Emmanuel Jal	0ca5108c-fd3b-4de7-93a0-da7666a39c3e	1980/null/null	null/null/null	Person	Sudan	Male	null	null	null
Mario Biondi	406c77d1-4c07-405b-bb86-4217fa4fc0a4	null/null/null	null/null/null	Person	Italy	Male	null	100	2
Steve Angello	4069600e-55c1-46dd-814f-4166d5b5dbba	1982/null/null	null/null/null	Person	Sweden	Male	null	null	null
Brian	5ab56ee5-059f-4be9-b69b-8ec1563d1e76	null/null/null	null/null/null	Person	Ireland	Male	Irish indie pop artist Ken Sweeney	null	null
Sue Foley	7699f64f-9a90-4291-902e-afeeed3e138f	1968/3/29	null/null/null	Person	Canada	Female	null	60	1
Vader Abraham	a74bd336-7e59-4bdb-a33d-61073bdcfe44	1935/4/11	null/null/null	Person	Netherlands	Male	null	null	null
David Cassidy	37095068-147b-4c68-8d79-ea25a92b590a	1950/4/12	null/null/null	Person	United States	Male	null	null	null
Keziah Jones	754932cb-a3df-43c5-99ab-c1a69190e4bc	1968/1/10	null/null/null	Person	Nigeria	Male	null	100	1
Hayden	000b1990-4dd8-4835-abcd-bb6038c13ac7	1971/2/12	null/null/null	Person	Canada	Male	null	null	null
Tommi Läntinen	72d48a9f-35e6-4b1f-9efe-22c66c6862d4	1959/null/null	null/null/null	Person	Finland	Male	null	null	null
Ali A$	896241ab-7f6b-4d40-903e-375cf89e8c42	null/null/null	null/null/null	Person	Germany	Male	null	null	null
Meade Lux Lewis	abb415f3-a991-4fa7-b47a-674ab86fe060	1905/9/null	1964/6/7	Person	United States	Male	null	null	null
Cyril Paulus	bc22d1bb-f750-4d0f-a76e-e1f8e7db8785	null/null/null	null/null/null	Person	France	Male	null	null	null
Eon	bfc46b7d-b0de-42e5-aaa0-eb792f034245	1954/9/22	2009/6/17	Person	United Kingdom	Male	UK breakbeat by Ian B. Loveday	null	null
Guy Sigsworth	79d1e9ca-d396-44ac-8a4a-ff5dbe9e44f9	1968/6/14	null/null/null	Person	United Kingdom	Male	null	null	null
Tim Buckley	8546949d-f46c-45ab-8391-85b26dda6b65	1947/2/14	1975/6/29	Person	United States	Male	null	null	null
Otto Grundström	9524c723-3df2-43b9-84b9-4b246cc2ae63	1976/10/31	null/null/null	Person	Finland	Male	null	null	null
Marija Naumova	5f645603-3ae4-4102-b16d-f03836f5d39e	1973/6/23	null/null/null	Person	Latvia	Female	null	null	null
Bessie Smith	ffa28768-ecda-42c6-ac49-6ce5c7d33043	1894/4/15	1937/9/26	Person	United States	Female	null	null	null
Yves Duteil	b8fb054b-86c9-4c6b-8bb1-d1b088c46e2c	1949/7/24	null/null/null	Person	France	Male	null	100	1
Steve Hackett	f4eb8346-052d-4a5c-8393-cba3aeadb4d9	1950/2/12	null/null/null	Person	United Kingdom	Male	null	80	3
Alex Gopher	ee1a6d4a-b1ff-46a8-acf2-af575424bda5	null/null/null	null/null/null	Person	France	Male	null	null	null
郭美美	c9ecd172-6b18-48f0-97db-31c89c9fdab2	1982/3/21	null/null/null	Person	Singapore	Female	null	null	null
Holly Johnson	a2ead4a9-26ed-4ca3-bee2-6e08c829c3a3	1960/2/9	null/null/null	Person	United Kingdom	Male	null	null	null
中村康三	6e0e7141-4ce7-48f1-98de-db46c3353413	null/null/null	null/null/null	Person	Japan	Male	BEMANI	null	null
Howlin' Wolf	ca5b38c2-f39d-45a4-ad3d-daf4448846ef	1910/6/10	1976/1/10	Person	United States	Male	null	93	3
高中正義	facf743e-1231-410d-bdf1-9ba11a6a4f3c	1953/3/27	null/null/null	Person	Japan	Male	null	null	null
Stevie Ray Vaughan	f5426431-f490-4678-ad44-a75c71097bb4	1954/10/3	1990/8/27	Person	United States	Male	null	null	null
Tom Cora	4f848050-be63-4fcc-8581-bbd90f1ec1e6	1953/9/14	1998/4/9	Person	United States	Male	null	null	null
Étienne Charry	a2e62403-a6aa-4933-8240-2b3fc4f32de1	1962/11/5	null/null/null	Person	France	Male	null	null	null
Jean-Philippe Viret	11be59d7-2abe-4f66-ac62-b0ad28c39e4c	null/null/null	null/null/null	Person	France	Male	null	null	null
Shafqat Amanat Ali	8c5415fd-5653-43b0-a375-9f8062883029	1965/null/null	null/null/null	Person	Pakistan	Male	null	null	null
Alberto Cereijo	26a260de-c39f-4ef9-818c-39970c56cab3	null/null/null	null/null/null	Person	Spain	Male	null	null	null
Howard Shore	9b58672a-e68e-4972-956e-a8985a165a1f	1946/10/18	null/null/null	Person	Canada	Male	null	95	4
Michael Heilrath	5abb98fb-1a9f-44ed-9932-ee515e1e58a3	null/null/null	null/null/null	Person	Germany	Male	null	null	null
Consequence	c2e49f7a-cd6f-48ca-8596-b03614ea4fe8	1977/null/null	null/null/null	Person	United States	Male	US rapper	null	null
Rod Stewart	a35237a0-4f47-40a6-b6f3-1e786db23402	1945/1/10	null/null/null	Person	United Kingdom	Male	null	100	1
Shannon	6d6faafd-2e49-4ec1-bedc-71c6f46f0dfd	1958/5/12	null/null/null	Person	United States	Female	US dance vocalist Brenda Shannon Greene	null	null
Hazhe	3ea3967e-0055-4018-8496-da4115035aa7	null/null/null	null/null/null	Person	Spain	Male	null	null	null
Voltio	c842457c-8087-433d-a895-ec58e7f14ca0	1977/6/11	null/null/null	Person	Puerto Rico	Male	null	null	null
Collin Raye	49bf0641-e3cd-462f-8aab-5346ef213b01	1959/8/22	null/null/null	Person	United States	Male	null	40	1
Cut Killer	e6207340-e26f-49dc-869f-3750804e8096	null/null/null	null/null/null	Person	France	Male	null	null	null
Sébastien Schuller	e77d6c32-4a07-4bf9-8ba5-25684d6c4e28	null/null/null	null/null/null	Person	France	Male	null	null	null
